order_id,customer_id,product_id,order_date,quantity,unit_price,discount,payment_method,channel,rating
ORD10583,C0173,P05,01/02/2024,1,KES 5200,0,cash,Store,3
ORD11520,C0092,P06,2024-01-01,4,255,0.15,Mpesa,store,5
ORD10220,C0182,P04,2024-02-11,3,KES 1800,0,mpesa,App,3
ORD11247,C0119,P15,Mar 20 2025,2,KES 750,0,Mpesa,Web,4
ORD10488,C0176,P20,01/04/2024,2,KES 935,0.15,Card,store,4
ORD10527,C0246,P04,Mar 23 2024,1,"1,800",0,cash,web,4
ORD11105,C0083,P16,2024-08-20,2,1200,0,Cash,store,4
ORD10787,C0195,P13,Feb 12 2024,2,200,0,Card,store,3
ORD11137,C0079,P18,Nov 12 2024,1,KES 510,0.15,cash,store,4
ORD11868,C0152,P10,Apr 27 2025,1,700,0,Card,Web,3
ORD11427,C0005,P20,Jan 7 2024,2,935,0.15,M-Pesa,web,5
ORD10544,C0161,P17,May 22 2025,3,KES 2380,0.15,Card,store,3
ORD10514,C0050,P07,03/02/2024,3,KES 950,0,Cash,store,3
ORD10235,C0046,P05,2024-10-11,5,5200,0,Cash,Web,3
ORD10446,C0200,P06,2025-01-17,4,300,0,cash,store,5
ORD11589,C0298,P05,04/05/2025,60,4940,0.05,card,web,2
ORD11965,C0213,P04,Feb 18 2025,2,1800,0,M-Pesa,Store,3
ORD11840,C0253,P06,22/08/2024,3,KES 285,0.05,M-Pesa,web,3
ORD11226,C0245,P09,Feb 5 2024,3,KES 3570,0.15,Cash,web,3
ORD11344,C0105,P04,2024-08-28,2,KES 1800,0,M-Pesa,store,3
ORD11650,C0102,P01,04/03/2024,2,3325,0.05,M-Pesa,App,4
ORD10961,C0129,P09,Jul 19 2024,2,"3,570",0.15,M-Pesa,app,5
ORD11309,C0081,P04,Jan 2 2024,5,KES 1800,0,M-Pesa,app,4
ORD11388,C0052,P13,2024-04-11,5,200,0,mpesa,App,4
ORD11945,C0246,P08,23/01/2025,2,2200,0,Card,app,5
ORD10677,C0057,P16,24/05/2024,4,KES 1020,0.15,cash,web,5
ORD11132,C0139,P06,22/02/2025,2,300,0,mpesa,Web,4
ORD11738,C0048,P10,2024-02-01,1,595,0.15,mpesa,Web,5
ORD10020,C0163,P09,May 24 2025,2,3570,0.15,Card,web,3
ORD11136,C0193,P13,2025-06-10,1,190,0.05,Card,Web,5
ORD11111,C0205,P09,Mar 1 2024,2,4200,0,cash,store,3
ORD11665,C0231,P15,Mar 24 2025,1,750,0,Card,app,3
ORD10217,C0227,P12,18/01/2025,3,350,0,Cash,store,3
ORD10030,C0269,P10,2024-11-05,1,630,0.1,Card,app,5
ORD10505,C0238,P14,2025-02-13,1,"1,600",0,M-Pesa,store,3
ORD11161,C0254,P18,12/05/2024,1,600,0,cash,App,3
ORD11519,C0207,P19,27/06/2025,1,1275,0.15,Mpesa,Store,4
ORD11794,C0211,P14,Jun 5 2025,2,KES 1360,0.15,M-Pesa,app,4
ORD10015,C0004,P08,2025-06-07,1,KES 1980,0.1,Mpesa,Web,5
ORD10093,C0268,P16,24/07/2024,2,KES 1200,0,Mpesa,App,
ORD10081,C0172,P03,Apr 12 2024,1,KES 2500,0,Card,web,4
ORD11935,C0258,P16,2024-08-18,3,1200,0,card,Web,4
ORD10287,C0244,P06,2024-10-09,2,285,0.05,Mpesa,app,4
ORD10023,C0260,P18,Nov 13 2024,3,600,0,cash,web,4
ORD10179,C0253,P11,05/03/2025,1,1900,0,mpesa,Web,3
ORD10686,C0300,P11,Jun 23 2025,2,KES 1805,0.05,Mpesa,web,3
ORD11770,C0085,P13,Oct 5 2024,1,180,0.1,M-Pesa,web,4
ORD11320,C0188,P02,15/06/2024,1,KES 680,0.15,Mpesa,web,4
ORD10222,C0233,P04,2024-05-16,3,1800,0,M-Pesa,App,5
ORD10553,C0230,P14,2025-03-23,3,KES 1520,0.05,Cash,Store,3
ORD10054,C0277,P19,Oct 16 2024,2,"1,500",0,Card,App,4
ORD11080,C0165,P09,2024-12-11,3,4200,0,card,store,4
ORD11497,C0145,P07,Apr 10 2024,2,950,0,card,Web,3
ORD11584,C0106,P19,11/06/2025,2,1275,0.15,M-Pesa,App,5
ORD11517,C0091,P06,15/05/2024,2,300,0,Card,Store,3
ORD10092,C0235,P14,2024-06-20,3,KES 1600,0,M-Pesa,app,4
ORD11974,C0205,P17,Nov 12 2024,3,2660,0.05,Mpesa,store,2
ORD10886,C0118,P14,Oct 26 2024,1,KES 1440,0.1,mpesa,Store,3
ORD11621,C0003,P16,26/02/2025,1,1140,0.05,Cash,Store,3
ORD11952,C0187,P16,2024-07-27,2,KES 1080,0.1,Cash,web,3
ORD10723,C0111,P19,2024-06-14,1,1500,0,cash,App,3
ORD10538,C0297,P03,26/09/2024,4,"2,125",0.15,cash,app,3
ORD11616,C0159,P08,07/10/2024,2,"2,200",0,cash,app,3
ORD10435,C0182,P19,2025-01-07,3,KES 1350,0.1,mpesa,store,4
ORD10606,C0011,P06,Jan 27 2024,1,KES 300,0,Cash,store,3
ORD10039,C0180,P16,2025-03-19,3,1200,0,Card,store,3
ORD10642,C0181,P07,Feb 22 2025,4,902,0.05,card,Store,3
ORD10616,C0067,P11,06/02/2024,5,1805,0.05,Cash,web,
ORD10622,C0023,P07,Oct 13 2024,2,902,0.05,M-Pesa,App,3
ORD10428,C0030,P08,2025-06-03,1,2200,0,cash,app,4
ORD11192,C0268,P19,Jun 1 2025,3,"1,500",0,Mpesa,Web,4
ORD10139,C0298,P19,12/09/2024,3,1275,0.15,Card,Store,5
ORD10199,C0124,P14,16/06/2025,1,1600,0,M-Pesa,web,3
ORD10080,C0219,P11,2025-01-26,1,1900,0,card,web,4
ORD10074,C0091,P18,23/02/2024,5,600,0,M-Pesa,store,3
ORD10692,C0261,P04,12/03/2025,1,1800,0,Card,store,4
ORD10922,C0005,P12,2024-11-17,3,KES 350,0,Mpesa,App,2
ORD10328,C0120,P20,Apr 16 2025,2,1100,0,Cash,app,2
ORD10108,C0147,P06,02/06/2024,3,KES 285,0.05,Card,App,4
ORD10517,C0170,P01,Aug 13 2024,3,"3,150",0.1,M-Pesa,web,4
ORD10280,C0175,P03,Nov 28 2024,3,2125,0.15,mpesa,web,3
ORD10319,C0138,P07,2025-01-01,40,855,0.1,cash,store,3
ORD10149,C0241,P19,2024-01-19,5,1500,0,M-Pesa,store,3
ORD10123,C0183,P02,Oct 7 2024,1,KES 800,0,cash,Web,3
ORD11107,C0082,P01,2024-08-02,3,3500,0,card,App,4
ORD10872,C0216,P07,13/09/2024,1,807,0.15,Mpesa,web,3
ORD11984,C0198,P03,Mar 19 2024,1,KES 2500,0,M-Pesa,store,3
ORD11609,C0035,P10,2024-10-13,1,665,0.05,cash,App,4
ORD10134,C0110,P17,16/08/2024,2,"2,800",0,card,store,2
ORD10639,C0190,P10,Oct 5 2024,3,KES 700,0,card,App,4
ORD11916,C0015,P03,Feb 23 2025,1,2500,0,mpesa,App,3
ORD10130,C0263,P19,2024-02-04,2,KES 1500,0,card,web,3
ORD11368,C0211,P14,Oct 18 2024,1,1520,0.05,mpesa,store,3
ORD11472,C0133,P08,2024-12-11,3,KES 1870,0.15,cash,app,4
ORD10762,C0035,P08,2025-02-17,2,KES 2200,0,Cash,App,3
ORD11954,C0112,P01,2024-10-10,5,3150,0.1,mpesa,web,3
ORD11903,C0117,P07,01/02/2025,2,KES 902,0.05,M-Pesa,Web,4
ORD10760,C0132,P13,2024-10-27,2,200,0,card,app,4
ORD11004,C0270,P19,Oct 1 2024,1,KES 1500,0,cash,app,
ORD10146,C0165,P02,Jan 25 2024,2,800,0,Card,Web,
ORD10427,C0263,P20,Nov 9 2024,1,1100,0,card,store,4
ORD11191,C0122,P05,25/01/2024,4,4680,0.1,cash,store,4
ORD11193,C0237,P12,16/11/2024,2,350,0,Cash,Web,3
ORD10670,C0242,P04,2024-10-13,4,KES 1710,0.05,card,store,3
ORD10442,C0258,P19,2024-02-04,2,1500,0,M-Pesa,App,4
ORD10756,C0124,P11,Jun 5 2024,5,KES 1900,0,card,store,4
ORD10295,C0091,P10,2024-04-25,2,700,0,Mpesa,app,4
ORD11843,C0291,P15,2024-05-21,1,750,0,M-Pesa,web,2
ORD11437,C0070,P11,2024-01-03,1,1805,0.05,Cash,app,4
ORD11568,C0143,P08,Nov 16 2024,3,1980,0.1,mpesa,store,5
ORD10088,C0027,P18,Jun 15 2024,1,600,0,Card,web,4
ORD10142,C0267,P16,Mar 28 2025,1,1200,0,cash,Web,3
ORD10800,C0232,P05,May 13 2024,3,KES 4420,0.15,Card,App,5
ORD10239,C0065,P10,2025-02-26,2,700,0,card,web,5
ORD11152,C0029,P13,Apr 10 2025,1,190,0.05,Mpesa,Web,3
ORD10773,C0210,P12,21/10/2024,1,350,0,cash,Store,4
ORD11428,C0280,P05,2025-01-21,1,KES 5200,0,M-Pesa,Store,4
ORD11291,C0292,P03,18/01/2025,2,"2,500",0,cash,web,3
ORD11086,C0253,P08,Jun 9 2024,3,1870,0.15,card,store,4
ORD11487,C0133,P04,11/10/2024,3,1620,0.1,Cash,Web,2
ORD11574,C0211,P14,Feb 19 2024,1,KES 1520,0.05,Mpesa,Web,2
ORD11579,C0162,P11,2024-01-05,3,1900,0,M-Pesa,App,2
ORD10480,C0049,P06,06/05/2025,4,285,0.05,Mpesa,web,5
ORD11339,C0108,P06,16/11/2024,2,300,0,cash,web,4
ORD10761,C0103,P05,2025-05-08,5,5200,0,Mpesa,Web,3
ORD11379,C0063,P02,2024-08-09,1,680,0.15,Card,app,3
ORD11800,C0021,P20,2025-03-10,2,935,0.15,cash,store,5
ORD10049,C0065,P05,Jan 16 2024,1,4940,0.05,Mpesa,Web,4
ORD11648,C0210,P04,Feb 28 2025,3,KES 1800,0,cash,app,3
ORD10810,C0243,P08,09/08/2024,2,1980,0.1,mpesa,Store,3
ORD10441,C0051,P03,04/04/2024,1,2125,0.15,Cash,app,4
ORD10924,C0021,P15,Jun 19 2025,1,750,0,Card,app,3
ORD11555,C0103,P18,Jun 3 2024,1,KES 600,0,Card,Web,4
ORD11992,C0246,P01,07/08/2024,2,3325,0.05,cash,app,4
ORD10207,C0082,P06,2025-05-20,1,300,0,card,web,4
ORD11752,C0091,P02,2024-12-28,3,680,0.15,cash,web,4
ORD10379,C0195,P14,11/05/2025,1,1600,0,M-Pesa,Store,3
ORD10507,C0269,P13,May 24 2025,1,200,0,Card,store,4
ORD11231,C0024,P12,Aug 14 2024,1,350,0,Mpesa,Web,
ORD10469,C0164,P05,Feb 8 2025,2,5200,0,Cash,app,
ORD11302,C0020,P19,Jan 4 2025,5,"1,425",0.05,Mpesa,Store,5
ORD11268,C0113,P15,2024-08-24,1,675,0.1,card,App,5
ORD10899,C0191,P01,20/03/2025,2,"3,500",0,mpesa,Web,
ORD11395,C0109,P11,Aug 4 2024,2,1900,0,mpesa,app,3
ORD11481,C0208,P13,2024-09-27,4,180,0.1,Mpesa,Web,3
ORD11051,C0232,P09,Jan 21 2025,3,4200,0,Card,Store,3
ORD10014,C0255,P16,15/06/2025,3,1200,0,M-Pesa,Store,4
ORD11536,C0228,P11,2025-01-05,1,1805,0.05,Card,web,4
ORD10845,C0154,P11,Jan 16 2025,1,1805,0.05,Cash,app,5
ORD10441,C0051,P03,04/04/2024,1,2125,0.15,Cash,app,4
ORD11991,C0138,P07,Nov 6 2024,3,855,0.1,card,App,3
ORD10415,C0140,P03,May 13 2025,1,2375,0.05,Mpesa,app,2
ORD11697,C0218,P09,May 25 2025,3,KES 4200,0,cash,Store,3
ORD10598,C0092,P01,12/07/2024,2,3500,0,card,App,3
ORD10449,C0275,P08,Jan 5 2025,3,2200,0,Cash,Store,2
ORD11719,C0299,P15,2025-03-05,2,675,0.1,cash,store,3
ORD10772,C0167,P13,May 28 2024,3,200,0,Card,Store,
ORD10774,C0212,P02,06/07/2024,1,800,0,Cash,web,3
ORD11504,C0193,P02,Mar 25 2025,1,800,0,cash,App,3
ORD10996,C0175,P02,07/10/2024,2,KES 720,0.1,cash,Store,4
ORD10145,C0081,P17,Feb 20 2024,1,"2,380",0.15,cash,App,3
ORD11350,C0058,P20,May 10 2024,3,1100,0,M-Pesa,App,4
ORD11546,C0221,P16,Jan 19 2025,3,1200,0,mpesa,Web,4
ORD10521,C0042,P18,02/04/2025,4,KES 600,0,Cash,App,3
ORD11891,C0054,P13,16/04/2025,2,200,0,cash,web,5
ORD11417,C0176,P08,2024-10-09,1,1980,0.1,M-Pesa,Web,4
ORD10351,C0153,P12,08/06/2025,1,332,0.05,card,App,4
ORD10366,C0177,P08,May 25 2025,2,KES 2200,0,Mpesa,Web,4
ORD10582,C0043,P05,25/01/2025,2,"4,940",0.05,Card,App,3
ORD10824,C0168,P09,17/01/2025,1,KES 4200,0,Mpesa,Web,2
ORD11530,C0006,P04,2024-06-10,2,1710,0.05,mpesa,App,5
ORD10789,C0059,P01,2024-05-12,3,KES 3500,0,card,web,
ORD10008,C0226,P13,Oct 23 2024,3,KES 200,0,Card,store,3
ORD10522,C0221,P16,2024-10-26,3,1200,0,Cash,store,4
ORD11358,C0110,P16,18/02/2025,4,KES 1200,0,Card,app,4
ORD10259,C0261,P09,2024-12-05,4,4200,0,Mpesa,App,4
ORD11791,C0230,P03,12/03/2025,1,"2,375",0.05,M-Pesa,App,
ORD10033,C0061,P09,May 18 2024,1,3570,0.15,Mpesa,Store,4
ORD10334,C0046,P11,Jul 19 2024,3,1900,0,mpesa,Web,5
ORD10875,C0113,P20,Sep 1 2024,4,"1,100",0,cash,web,4
ORD11661,C0117,P06,May 16 2025,1,255,0.15,card,Store,4
ORD10831,C0062,P01,Apr 15 2025,1,"3,325",0.05,mpesa,Web,4
ORD10183,C0288,P16,04/03/2025,2,1080,0.1,Mpesa,App,5
ORD11651,C0270,P15,2024-02-07,1,750,0,mpesa,app,
ORD11172,C0131,P12,2024-09-23,1,350,0,card,Store,4
ORD10966,C0061,P03,23/09/2024,3,KES 2375,0.05,Cash,store,4
ORD10186,C0055,P11,May 9 2024,1,1805,0.05,mpesa,Web,3
ORD11330,C0274,P10,07/09/2024,4,700,0,cash,web,4
ORD11049,C0263,P18,Mar 18 2024,2,600,0,cash,Web,4
ORD11877,C0130,P13,21/08/2024,5,170,0.15,Cash,web,4
ORD11038,C0028,P08,05/03/2025,1,2200,0,Cash,Store,3
ORD11842,C0150,P16,01/03/2025,2,"1,020",0.15,Card,store,
ORD11337,C0266,P16,2025-05-15,2,KES 1200,0,M-Pesa,App,4
ORD10329,C0151,P20,Jul 26 2024,3,990,0.1,Mpesa,app,5
ORD10540,C0260,P15,2024-11-09,1,750,0,card,store,3
ORD11003,C0110,P13,Dec 10 2024,3,200,0,cash,Web,3
ORD10624,C0052,P13,Jan 21 2024,1,200,0,Card,Web,4
ORD10347,C0049,P19,Jun 10 2024,1,KES 1425,0.05,M-Pesa,App,4
ORD11114,C0142,P16,2024-10-14,1,"1,200",0,card,Store,4
ORD11072,C0021,P02,2024-05-08,3,800,0,cash,App,3
ORD11187,C0052,P13,01/09/2024,3,KES 200,0,Card,app,2
ORD11951,C0124,P19,13/12/2024,2,KES 1425,0.05,M-Pesa,App,3
ORD10332,C0132,P16,2024-04-11,2,1140,0.05,Cash,App,2
ORD10633,C0293,P09,2024-10-23,2,"3,990",0.05,card,app,5
ORD11065,C0024,P01,2024-09-26,5,"3,150",0.1,cash,Web,3
ORD10889,C0140,P17,2024-01-06,2,2800,0,Mpesa,web,3
ORD11106,C0044,P14,2025-02-21,4,"1,600",0,mpesa,App,4
ORD10365,C0273,P04,Jan 1 2025,1,1620,0.1,Cash,Store,4
ORD10240,C0126,P18,20/02/2025,5,KES 600,0,M-Pesa,Web,4
ORD11522,C0111,P03,02/01/2025,4,KES 2375,0.05,Mpesa,web,5
ORD10086,C0260,P08,22/03/2025,3,2200,0,Mpesa,web,4
ORD11244,C0101,P01,May 9 2024,3,KES 3500,0,Mpesa,web,2
ORD11861,C0199,P13,May 11 2024,1,190,0.05,M-Pesa,store,5
ORD10264,C0115,P08,24/03/2025,2,KES 2090,0.05,Card,web,4
ORD10548,C0287,P17,2024-03-19,4,KES 2660,0.05,cash,app,3
ORD11881,C0194,P01,2024-11-09,1,KES 3325,0.05,Card,Web,3
ORD11224,C0192,P19,Nov 19 2024,1,1500,0,Cash,Web,5
ORD10406,C0143,P05,Mar 16 2024,1,4940,0.05,card,store,3
ORD11328,C0212,P04,2024-06-15,4,1800,0,Cash,web,
ORD10969,C0081,P08,05/02/2024,3,2200,0,M-Pesa,store,1
ORD11619,C0265,P16,06/07/2024,1,"1,200",0,mpesa,app,
ORD11012,C0021,P04,11/08/2024,1,KES 1710,0.05,Card,store,5
ORD10701,C0207,P10,10/04/2024,1,665,0.05,Cash,Store,4
ORD10038,C0133,P12,2025-01-16,1,350,0,Card,Web,
ORD10335,C0275,P07,2025-01-22,5,KES 950,0,M-Pesa,app,2
ORD10470,C0144,P11,2025-04-28,1,KES 1900,0,Cash,Web,4
ORD11066,C0019,P12,Jun 16 2024,2,297,0.15,card,store,5
ORD10437,C0002,P15,2024-05-02,2,KES 750,0,Card,store,5
ORD11647,C0086,P20,23/12/2024,2,1100,0,M-Pesa,web,2
ORD10483,C0086,P05,Apr 16 2024,1,"5,200",0,card,App,3
ORD10687,C0106,P10,2024-06-02,1,595,0.15,M-Pesa,App,4
ORD11041,C0119,P18,22/08/2024,4,600,0,M-Pesa,App,5
ORD10105,C0228,P01,Oct 27 2024,1,"3,150",0.1,Card,Store,5
ORD10672,C0242,P10,19/12/2024,2,630,0.1,M-Pesa,app,4
ORD10481,C0171,P15,2024-05-01,5,750,0,M-Pesa,web,3
ORD10721,C0051,P19,Apr 22 2024,1,1500,0,cash,app,3
ORD10962,C0242,P20,18/07/2024,4,990,0.1,Mpesa,app,3
ORD11997,C0230,P04,24/11/2024,1,1800,0,Cash,App,4
ORD10957,C0009,P08,2025-04-21,1,2200,0,mpesa,store,3
ORD10053,C0270,P09,08/03/2025,2,3990,0.05,Cash,store,4
ORD11801,C0169,P08,Oct 26 2024,1,2090,0.05,Cash,App,4
ORD10602,C0279,P09,2024-07-23,2,"4,200",0,card,Web,
ORD10844,C0152,P04,14/07/2024,1,1800,0,M-Pesa,store,3
ORD10153,C0222,P18,Nov 15 2024,1,KES 570,0.05,M-Pesa,store,4
ORD11849,C0196,P01,Nov 14 2024,2,KES 3150,0.1,M-Pesa,Store,4
ORD11235,C0267,P06,Mar 23 2024,1,KES 270,0.1,M-Pesa,app,3
ORD10792,C0002,P14,2024-08-27,1,1600,0,card,store,3
ORD10247,C0011,P09,2024-12-08,3,3780,0.1,mpesa,Web,4
ORD11986,C0292,P12,Aug 27 2024,1,KES 350,0,card,store,4
ORD10884,C0265,P20,May 3 2025,3,KES 935,0.15,M-Pesa,Store,3
ORD10882,C0289,P08,16/03/2024,2,2200,0,Card,Web,3
ORD11068,C0071,P11,Jun 25 2025,3,1900,0,cash,app,4
ORD11077,C0279,P04,May 5 2024,1,1800,0,Cash,App,5
ORD10432,C0221,P16,2024-07-21,1,1020,0.15,Mpesa,Web,4
ORD10339,C0250,P13,Oct 1 2024,5,180,0.1,mpesa,app,3
ORD11629,C0165,P06,Nov 14 2024,1,KES 300,0,cash,web,2
ORD10496,C0239,P14,Feb 5 2025,2,"1,600",0,cash,web,3
ORD10773,C0210,P12,21/10/2024,1,350,0,cash,Store,4
ORD10224,C0251,P14,Jun 28 2024,1,1520,0.05,Cash,web,5
ORD10662,C0229,P19,2025-05-08,1,1425,0.05,Mpesa,Web,
ORD10303,C0300,P15,2025-01-23,2,KES 750,0,M-Pesa,Store,5
ORD11942,C0068,P15,2024-06-02,1,750,0,Mpesa,web,
ORD10632,C0041,P11,03/10/2024,2,1615,0.15,cash,web,4
ORD10277,C0169,P09,Oct 7 2024,3,KES 3780,0.1,cash,store,
ORD10154,C0265,P06,Apr 18 2025,1,285,0.05,card,store,2
ORD11797,C0153,P02,09/01/2024,1,760,0.05,Mpesa,App,4
ORD11225,C0204,P19,Feb 3 2025,4,1500,0,Cash,app,4
ORD10443,C0238,P14,10/01/2025,1,"1,600",0,mpesa,app,2
ORD11448,C0133,P01,May 4 2025,3,3325,0.05,Card,App,
ORD10741,C0049,P13,28/01/2025,3,KES 200,0,M-Pesa,App,3
ORD10571,C0210,P08,Jun 20 2024,2,"2,200",0,Mpesa,Store,4
ORD11926,C0008,P19,2024-02-28,2,"1,425",0.05,M-Pesa,app,4
ORD11404,C0271,P10,2024-09-16,4,665,0.05,card,Web,4
ORD10813,C0239,P05,25/03/2025,2,5200,0,mpesa,app,3
ORD10135,C0021,P03,24/11/2024,2,2500,0,Mpesa,Store,4
ORD10652,C0054,P05,22/09/2024,3,KES 4940,0.05,Mpesa,app,3
ORD10950,C0298,P04,22/08/2024,1,KES 1530,0.15,Mpesa,App,4
ORD10116,C0228,P14,Mar 5 2025,1,1360,0.15,Mpesa,web,3
ORD10970,C0231,P08,25/05/2024,1,2090,0.05,Mpesa,store,3
ORD11914,C0005,P02,Mar 2 2025,1,680,0.15,Card,web,4
ORD11180,C0033,P17,Jan 20 2025,2,2800,0,Cash,app,
ORD11483,C0271,P14,Jan 23 2024,3,1600,0,M-Pesa,Web,3
ORD11911,C0242,P01,21/05/2025,4,KES 3500,0,Cash,store,3
ORD10991,C0067,P12,2025-05-09,2,297,0.15,cash,Web,4
ORD11207,C0160,P18,02/03/2024,1,570,0.05,M-Pesa,web,3
ORD11202,C0191,P01,06/06/2024,3,3500,0,Cash,Web,3
ORD10158,C0015,P09,2024-09-01,2,3780,0.1,mpesa,Store,5
ORD10114,C0276,P15,Mar 2 2024,5,750,0,Card,web,
ORD11853,C0033,P12,07/01/2025,1,KES 350,0,card,store,5
ORD11237,C0269,P04,May 12 2025,2,1800,0,Card,Web,4
ORD10004,C0252,P16,2024-05-14,1,KES 1200,0,cash,web,5
ORD11133,C0182,P08,2024-04-14,1,"2,090",0.05,Card,Web,3
ORD10223,C0270,P13,Jun 16 2025,2,200,0,Card,store,4
ORD10459,C0059,P06,Nov 7 2024,2,300,0,mpesa,web,3
ORD10931,C0281,P03,2024-03-01,5,2250,0.1,cash,App,4
ORD10206,C0081,P20,2025-04-02,1,935,0.15,mpesa,App,4
ORD11754,C0194,P04,10/07/2024,1,KES 1800,0,Mpesa,App,
ORD10285,C0269,P03,28/03/2025,1,2500,0,Mpesa,Web,4
ORD10603,C0207,P14,24/02/2024,1,1600,0,Mpesa,app,2
ORD11039,C0088,P06,Mar 16 2024,1,KES 300,0,M-Pesa,store,4
ORD10468,C0057,P02,2024-10-06,1,760,0.05,M-Pesa,web,4
ORD10197,C0245,P15,16/01/2025,4,712,0.05,Cash,store,4
ORD10897,C0040,P20,28/10/2024,1,1100,0,mpesa,App,4
ORD11099,C0107,P18,26/01/2024,2,540,0.1,Mpesa,App,
ORD11370,C0259,P10,07/04/2024,2,630,0.1,Card,App,3
ORD11828,C0029,P14,13/03/2024,3,1600,0,M-Pesa,app,3
ORD10302,C0167,P13,2024-05-16,1,180,0.1,M-Pesa,Store,3
ORD11618,C0215,P03,Jun 20 2024,5,2500,0,card,web,2
ORD11640,C0022,P13,2025-01-21,1,200,0,mpesa,Web,4
ORD11510,C0194,P07,May 24 2024,2,855,0.1,Card,app,4
ORD11577,C0260,P14,2024-11-26,1,1520,0.05,Card,web,4
ORD10719,C0129,P12,19/03/2024,1,KES 350,0,card,app,2
ORD11641,C0280,P19,2024-04-04,1,1500,0,cash,store,
ORD10609,C0088,P02,14/01/2025,1,680,0.15,Mpesa,App,5
ORD10557,C0161,P04,2024-12-08,1,"1,800",0,mpesa,Store,3
ORD11995,C0265,P14,2025-02-15,2,1600,0,Cash,Web,4
ORD10665,C0244,P07,2024-04-19,2,950,0,cash,Web,5
ORD11057,C0127,P05,2025-06-27,3,KES 4940,0.05,card,Store,4
ORD11433,C0110,P06,2025-02-02,1,285,0.05,Card,Store,4
ORD10484,C0250,P09,Dec 28 2024,3,4200,0,M-Pesa,App,2
ORD11928,C0215,P15,Aug 8 2024,2,750,0,mpesa,Store,4
ORD10622,C0023,P07,Oct 13 2024,2,902,0.05,M-Pesa,App,3
ORD10393,C0299,P04,Jan 20 2025,4,KES 1710,0.05,cash,app,3
ORD10029,C0104,P03,2025-03-05,2,"2,250",0.1,Card,store,4
ORD10595,C0124,P18,Jan 10 2025,1,600,0,card,Web,3
ORD10256,C0034,P05,2024-02-22,4,5200,0,mpesa,app,3
ORD11490,C0219,P01,Jun 7 2025,2,3325,0.05,mpesa,app,4
ORD11961,C0299,P13,Feb 17 2024,3,190,0.05,cash,Store,4
ORD11818,C0124,P19,2024-06-13,4,KES 1500,0,cash,App,4
ORD11919,C0181,P19,06/01/2024,1,"1,500",0,Mpesa,Store,4
ORD10413,C0173,P15,Jan 2 2024,1,KES 675,0.1,card,web,4
ORD10578,C0218,P17,13/01/2024,1,2800,0,M-Pesa,web,4
ORD11332,C0284,P14,27/02/2024,2,"1,440",0.1,Cash,Web,4
ORD10359,C0049,P17,2024-12-02,4,"2,660",0.05,cash,app,5
ORD11907,C0278,P16,08/07/2024,1,"1,020",0.15,Cash,Web,4
ORD11983,C0020,P11,Oct 3 2024,3,1710,0.1,card,web,5
ORD11367,C0005,P15,15/10/2024,4,712,0.05,Mpesa,Store,3
ORD11825,C0149,P15,Oct 4 2024,3,712,0.05,cash,App,4
ORD11712,C0068,P08,08/04/2025,3,2200,0,Cash,App,2
ORD10865,C0262,P16,Jan 18 2025,3,KES 1200,0,Card,App,3
ORD10006,C0195,P11,2025-01-26,2,1900,0,Card,app,2
ORD10461,C0109,P17,Jul 26 2024,1,2660,0.05,card,store,3
ORD10821,C0149,P16,2024-01-02,2,1200,0,Mpesa,web,4
