return_id,order_id,return_date,reason
RET563,ORD11799,May 21 2024,Damaged
RET564,ORD11962,2025-03-04,Late delivery
RET565,ORD10478,13/09/2024,Wrong item
RET566,ORD11113,2024-04-03,Late delivery
RET567,ORD11285,2024-12-11,Damaged
RET568,ORD10658,17/05/2025,Late delivery
RET569,ORD11757,Sep 6 2024,Late delivery
RET570,ORD10710,13/06/2025,Late delivery
RET571,ORD11109,09/09/2024,Changed mind
RET572,ORD11011,Feb 7 2025,damaged
RET573,ORD11529,2024-01-14,Late delivery
RET574,ORD11912,02/08/2024,damaged
RET575,ORD10087,25/12/2024,Faulty
RET576,ORD11643,2024-04-02,Changed mind
RET577,ORD11982,Sep 20 2024,Late delivery
RET578,ORD10895,23/08/2024,wrong item
RET579,ORD11170,May 2 2024,Changed mind
RET580,ORD11402,Apr 24 2024,Changed mind
RET581,ORD10353,Feb 5 2024,Wrong item
RET582,ORD10175,Sep 19 2024,Late delivery
RET583,ORD11032,2024-03-03,Changed mind
RET584,ORD11527,21/05/2024,Wrong item
RET585,ORD11990,18/06/2024,Damaged
RET586,ORD11457,Feb 19 2024,damaged
RET587,ORD11845,Sep 13 2024,Late delivery
RET588,ORD10162,Feb 11 2025,damaged
RET589,ORD11129,2025-03-24,Changed mind
RET590,ORD10037,2025-03-16,Wrong item
RET591,ORD10874,09/02/2024,damaged
RET592,ORD11044,2024-05-06,Faulty
RET593,ORD10894,Feb 5 2025,Changed mind
RET594,ORD11058,Jan 11 2025,Late delivery
RET595,ORD10902,05/10/2024,Damaged
RET596,ORD11153,Jan 28 2025,Wrong item
RET597,ORD11484,2024-02-20,Faulty
RET598,ORD11166,Mar 25 2024,Faulty
RET599,ORD10438,12/01/2025,Late delivery
RET600,ORD10871,16/01/2025,Faulty
RET601,ORD10275,08/04/2025,Changed mind
RET602,ORD10674,Dec 7 2024,Late delivery
RET603,ORD10615,Jan 20 2024,Faulty
RET604,ORD10091,2024-07-09,Changed mind
RET605,ORD10381,06/10/2024,Damaged
RET606,ORD11655,2025-01-25,wrong item
RET607,ORD10022,10/02/2024,Faulty
RET608,ORD11642,15/05/2024,Faulty
RET609,ORD10512,07/11/2024,Changed mind
RET610,ORD11422,17/01/2024,damaged
RET611,ORD11660,2024-05-01,damaged
RET612,ORD10376,2025-04-17,wrong item
RET613,ORD11628,Jan 18 2025,damaged
RET614,ORD10654,2025-03-05,Damaged
RET615,ORD11359,2025-02-03,wrong item
RET616,ORD10120,09/10/2024,wrong item
RET617,ORD11989,20/12/2024,Wrong item
RET618,ORD10604,10/07/2024,wrong item
RET619,ORD10316,2024-09-22,wrong item
RET620,ORD11245,2025-04-04,Changed mind
RET621,ORD10133,2025-04-04,Late delivery
RET622,ORD11100,2024-03-11,wrong item
RET623,ORD11996,2025-02-01,Damaged
RET624,ORD11090,Jun 26 2025,Wrong item
RET625,ORD11964,15/02/2025,Changed mind
RET626,ORD10349,Jul 20 2024,Changed mind
RET627,ORD11887,Feb 25 2025,Damaged
RET628,ORD10981,21/12/2024,Changed mind
RET629,ORD10847,03/01/2024,wrong item
RET630,ORD10340,Jan 28 2025,Damaged
RET631,ORD11240,Jun 6 2025,wrong item
RET632,ORD10343,2024-06-06,Changed mind
RET633,ORD11130,Jun 16 2025,damaged
RET634,ORD10498,May 11 2025,Changed mind
RET635,ORD10629,04/01/2024,wrong item
RET636,ORD11089,Jun 1 2025,Faulty
RET637,ORD10474,06/04/2024,wrong item
RET638,ORD11416,Apr 25 2025,Late delivery
RET639,ORD10336,Mar 5 2025,Changed mind
RET640,ORD10034,Nov 10 2024,wrong item
RET641,ORD11229,Oct 2 2024,Faulty
RET642,ORD11830,2025-01-16,Damaged
RET643,ORD11333,May 9 2024,Late delivery
RET644,ORD11501,Feb 27 2025,damaged
RET645,ORD11475,2025-03-21,Damaged
RET646,ORD11316,01/08/2024,Damaged
RET647,ORD11764,04/06/2025,Changed mind
RET648,ORD10369,2025-04-12,Damaged
RET649,ORD10683,Mar 25 2025,Wrong item
RET650,ORD10703,06/01/2024,Changed mind
RET651,ORD11630,2025-02-28,Late delivery
RET652,ORD10121,Apr 16 2025,Wrong item
RET653,ORD10610,Sep 4 2024,Faulty
RET654,ORD10409,2024-04-28,damaged
RET655,ORD10862,Mar 26 2025,Faulty
RET656,ORD11028,2024-09-14,damaged
RET657,ORD11135,Jan 14 2025,Wrong item
RET658,ORD11862,2024-09-28,Changed mind
RET659,ORD10910,14/01/2025,Wrong item
RET660,ORD10945,2025-01-18,damaged
RET661,ORD11807,13/06/2025,Wrong item
RET662,ORD10976,May 18 2024,Faulty
RET663,ORD10759,Apr 6 2024,Wrong item
RET664,ORD10308,2025-06-10,Late delivery
